Id,BackendName,NameAr,NameEn,DescriptionAr,DescriptionEn,DisplayOrder,ParentId
E0DDB537-F0A8-4F65-88E5-EDE72D109AEC,E0DDB537-F0A8-4F65-88E5-EDE72D109AEC~Statistics,إحصائيات,Statistics,"","",1,
FA47FBE8-D331-427A-97DB-DC122FCD9BDA,FA47FBE8-D331-427A-97DB-DC122FCD9BDA~Others in Biological Sciences,آخرون في العلوم البيولوجية,Others in Biological Sciences,"","",2,
F7F7A906-A232-4DD6-81DB-1477A28264BD,F7F7A906-A232-4DD6-81DB-1477A28264BD~Human resource management,إدارة الموارد البشرية,Human resource management,"","",3,
B2B987EF-278C-4E27-AC79-6AAD152BF4DF,"B2B987EF-278C-4E27-AC79-6AAD152BF4DF~Complementary medicines, therapies & well-being",الأدوية التكميلية والعلاجات والرفاهية,"Complementary medicines, therapies & well-being","","",4,
DDFBE911-31BD-4240-984F-282B08516D24,DDFBE911-31BD-4240-984F-282B08516D24~Anthropology,الأنثروبولوجيا,Anthropology,"","",5,
1C167EB2-E4A2-45A5-B2BF-085DB83518DA,1C167EB2-E4A2-45A5-B2BF-085DB83518DA~Economics,الاقتصاد,Economics,"","",6,
DCB8B273-9CB0-481D-87CF-777BEB7E434F,DCB8B273-9CB0-481D-87CF-777BEB7E434F~Operational research,البحوث التشغيلية,Operational research,"","",7,
DA4B5B54-4E28-4E3C-94BF-4971F5FC955F,DA4B5B54-4E28-4E3C-94BF-4971F5FC955F~Polymers & textiles,البوليمرات والمنسوجات,Polymers & textiles,"","",8,
D697718A-D4C8-4388-9FFD-CEEFEF2C9572,"D697718A-D4C8-4388-9FFD-CEEFEF2C9572~Molecular biology, biophysics & biochemistry",البيولوجيا الجزيئية والفيزياء الحيوية والكيمياء الحيوية,"Molecular biology, biophysics & biochemistry","","",9,
7520D603-C251-4A21-8A0C-1FDEA6D666C2,"7520D603-C251-4A21-8A0C-1FDEA6D666C2~Planning (urban, rural & regional)",التخطيط (الحضري والريفي والإقليمي),"Planning (urban, rural & regional)","","",10,
A038E0EA-4410-40C2-9FAB-039786715382,"A038E0EA-4410-40C2-9FAB-039786715382~Anatomy, physiology & pathology",التشريح وعلم وظائف الأعضاء وعلم الأمراض,"Anatomy, physiology & pathology","","",11,
3B9B1C75-8FA4-4E7F-894F-A60BE2D46C49,3B9B1C75-8FA4-4E7F-894F-A60BE2D46C49~Maritime technology,التكنولوجيا البحرية,Maritime technology,"","",12,
A307014E-4A8E-4468-9DFE-8A70904F8FC1,A307014E-4A8E-4468-9DFE-8A70904F8FC1~Biotechnology,التكنولوجيا الحيوية,Biotechnology,"","",13,
49C41DF6-30BD-4A7A-8EE4-201F6CCEAFD8,49C41DF6-30BD-4A7A-8EE4-201F6CCEAFD8~Medical technology,التكنولوجيا الطبية,Medical technology,"","",14,
344586BA-A3D0-4075-ACC6-44E7FA38A3C7,344586BA-A3D0-4075-ACC6-44E7FA38A3C7~Human & social geography,الجغرافيا البشرية والاجتماعية,Human & social geography,"","",15,
3A626880-24E5-4381-96E7-BFC68C0637E9,3A626880-24E5-4381-96E7-BFC68C0637E9~Geology,الجيولوجيا,Geology,"","",16,
7695196F-70D0-4244-9B41-DD496FF40793,7695196F-70D0-4244-9B41-DD496FF40793~Crafts,الحرف اليدوية,Crafts,"","",17,
17384735-4CF2-48DA-ACA9-18F37FF9CCBC,17384735-4CF2-48DA-ACA9-18F37FF9CCBC~Business studies,الدراسات التجارية,Business studies,"","",18,
605F0873-4D76-4FC5-A357-FE7C18869824,605F0873-4D76-4FC5-A357-FE7C18869824~Defense and Security,الدفاع والأمن,Defense and Security,"","",19,
C6F2E677-90AA-407B-9735-8FBDFA294CDD,C6F2E677-90AA-407B-9735-8FBDFA294CDD~Artificial intelligence,الذكاء الاصطناعي,Artificial intelligence,"","",20,
3E3CD1C2-E37B-459A-89F8-957EB309D9E6,3E3CD1C2-E37B-459A-89F8-957EB309D9E6~Dance,الرقص,Dance,"","",21,
FDD8F156-4D12-4C75-8683-57C918C454F1,FDD8F156-4D12-4C75-8683-57C918C454F1~Mathematics,الرياضيات,Mathematics,"","",22,
64D65E23-2E73-493D-9B47-7A355D6FE5FD,64D65E23-2E73-493D-9B47-7A355D6FE5FD~Social policy,السياسة الاجتماعية,Social policy,"","",23,
6ED7525B-01B7-4537-A9E4-A05A5E4AF2A3,6ED7525B-01B7-4537-A9E4-A05A5E4AF2A3~Ceramics & glass,السيراميك والزجاج,Ceramics & glass,"","",24,
6569B223-81EB-4A45-B60D-7875E6019300,6569B223-81EB-4A45-B60D-7875E6019300~Cinematics & photography,السينما والتصوير الفوتوغرافي,Cinematics & photography,"","",25,
6F41B482-BD0C-4DFA-8415-DB92CB159B30,6F41B482-BD0C-4DFA-8415-DB92CB159B30~Journalism,الصحافة,Journalism,"","",26,
E18A0B1B-F30C-4440-98F8-038A56BDF360,E18A0B1B-F30C-4440-98F8-038A56BDF360~Public Health,الصحة العامة,Public Health,"","",27,
252C93BF-180D-4330-BEA8-453317B03A4B,"252C93BF-180D-4330-BEA8-453317B03A4B~Pharmacology, toxicology & pharmacy",الصيدلة وعلم السموم والصيدلة,"Pharmacology, toxicology & pharmacy","","",28,
96D55527-8E7C-4FB8-8487-F27A5DAC0FAD,"96D55527-8E7C-4FB8-8487-F27A5DAC0FAD~Hospitality, leisure, sport, tourism & transport",الضيافة والترفيه والرياضة والسياحة والنقل,"Hospitality, leisure, sport, tourism & transport","","",29,
9BA51219-2070-4110-8E2C-6C01300A10B1,9BA51219-2070-4110-8E2C-6C01300A10B1~Clinical veterinary medicine & dentistry,الطب البيطري السريري وطب الأسنان,Clinical veterinary medicine & dentistry,"","",30,
8E3B4DAF-9BCE-452A-A000-81355FF7FCE3,8E3B4DAF-9BCE-452A-A000-81355FF7FCE3~Medicine and Dentistry,الطب وطب الأسنان,Medicine and Dentistry,"","",31,
A565B2D4-44FD-42E8-B7AE-CA5E82A64AAB,A565B2D4-44FD-42E8-B7AE-CA5E82A64AAB~Physical geographical sciences,العلوم الجغرافية الفيزيائية,Physical geographical sciences,"","",32,
