JobNumber,JobGroupNumber,JobClassNumber,OrgScope,JobNameAr,JobNameEn
4321,283,4,1,أخصائي تقييم طلبة لغة عربية أول,Senior Student Assessment Specialist - Arabic
3788,283,3,1,اخصائي إسكان,Housing Specialist
3498,283,3,1,اخصائي تنسيق قاعدة بيانات أول,Senior Database Coordination Specialist
4026,283,3,1,اخصائي توجيه لغة عربية أول,Senior Arabic Language Supervision Specialist
3792,283,5,1,استشاري إسكان,Housing Consultant
3790,283,4,1,خبير إسكان,Housing Expert
3765,283,4,1,خبير تدريب رياضيات,Mathematics Training Expert
3766,283,4,1,خبير توجيه تربيه خاصه أول,Senior Special Education Supervision Expert
3726,283,3,1,خبير شؤون مؤسسات التعليم العالي,Higher Education Institutions Affairs Expert
3767,283,3,1,خبير شؤون ماليه أول,Senior Financial Affairs Expert
3785,283,3,1,خبير مراكز تعليمية وتدريبية أول,First Educational and Training Centers Expert
3727,283,3,1,خبير مصادر تعلم أول,First Education Resources Expert
2146,14,3,1,فني كهربائي ثاني,2nd Electric Technician
2144,14,3,1,فني كهربائي رابع,4th Electric Technician
2309,15,3,1,كهربائي موتورات ثالث,3rd Motors Electrician
3764,283,3,1,مدقق داخلي أول,1st Internal Auditor
2415,22,3,1,مدير مشروع كلية شمال الأطلنطي وجامعة كالجاري – قطر,Project Manager of North Atlantic College and University of Calgary- Qatar
2052,64,3,1,مراقب نقليات ثالث,3rd transportation Controller
2053,64,3,1,مراقب نقليات ثاني,2nd transportation Controller
2051,64,3,1,مراقب نقليات رابع,4th transportation Controller
1937,74,3,1,مساعد كاتب شئون مالية أول,Senior Assistant Clerk for Financial Affairs
4875,22,3,1,مساعد مدير إدارة التعاون الدولي,Assistant Director of International Cooperation Department
3728,55,3,1,ملاحظ عمال ملفات خامس,5th Files Clerk Supervisor
4300,64,5,3,مندوب ثالث,3rd Public Services
4304,55,5,3,مندوب رابع,4th Representative
3077,163,5,1,منسق علاقات عامة,PR Coordinator
4251,163,5,1,منسق مشتريات,Procurement Coordinator
2801,113,3,1,استشاري  شؤون معلمين,Teachers Affairs Consultant
2847,283,3,1,باحثة شؤون معلمين ثاني,2nd Teachers Affairs Researcher
1797,173,3,1,أخصائي   أعلامي أول,Senior Media  Specialist
1315,283,3,1,أخصائي  ميدان,Field Specialist
3474,67,5,1,أخصائي أنشطة مدرسية,School Activities Specialist
4913,63,,1,أخصائي أنظمة أول,Senior System Specialist
3854,283,,1,أخصائي أول,First Specialist
3210,63,3,1,أخصائي أول أمن تكنولوجيا المعلومات,First Specialist of Information Technology Security
1195,283,3,1,أخصائي أول مدارس,Senior School Specialist
1180,283,3,1,أخصائي أول مدارس خاصة,Senior Private Schools  Specialist
3955,283,,2,أخصائي إدارة البريد الالكتروني أول,Senior Email Management Specialist
3752,283,4,1,أخصائي إدارة برامج ومشاريع,Program and Project Management Specialist
2588,283,3,1,أخصائي إدارة مشاريع,Project Management Specialist
2628,283,3,3,أخصائي إرشاد طلابي,STUDENTS COUNSELING SPECIALIST
1910,283,3,1,أخصائي إرشاد وتطوير مهني,Guidance and professional Development Specialist
1280,283,3,1,أخصائي إنتاج,Production Specialist
1782,163,3,1,أخصائي اتصال ومعلومات,Communication and Information Specialist
1783,163,3,1,أخصائي اتصال ومعلومات أول,Senior Communication and Information Specialist
1495,283,3,1,أخصائي اتفاقات,Agreements Specialist
1320,207,5,2,أخصائي اجتماعي,Social Specialist
1321,143,3,1,أخصائي اجتماعي أول,Senior Social Specialist
1326,283,3,1,أخصائي احصاء أول,Senior Statistic Specialist
3328,283,3,1,أخصائي احصائي وتحليل بيانات,Statistics and Data Analysis Specialist
1804,283,3,1,أخصائي ارشاد أول,Senior Guidance Specialist
3284,283,,1,أخصائي ارشاد اكاديمي ومهني,Academic and Career Counseling Specialist
4303,283,5,1,أخصائي ارشاد طلابي نفسي,Psychological and Student Counseling Specialist
2898,283,5,1,أخصائي ارشاد طلابي نفسي ثالث,3nd Student Psychiatrist
4262,283,5,2,أخصائي اعتماد أكاديمي أول,Senior Academic Accreditation Specialist
1330,163,3,1,أخصائي اعلام,Media Specialist
1331,283,3,1,أخصائي اعلام أول,Senior Media Specialist
4095,283,3,1,أخصائي البحث العلمي,Scientific Research Specialist
3763,283,3,1,أخصائي الجودة,Quality  Specialist
4328,283,3,1,أخصائي الجودة أول,Senior Quality  Specialist
1397,283,3,1,أخصائي الدعم الأضافي,Additional Support Specialist
1398,283,3,1,أخصائي الدعم الأضافي أول,Senior Additional Support Specialist
2870,283,3,1,أخصائي الدعم الإضافي أول,First Additional Support Specialist
50304,283,3,1,أخصائي انتاج,أخصائي انتاج
1399,283,3,1,أخصائي بحث علمي,Scientific Research Specialist
1400,283,3,1,أخصائي بحث علمي أول,Senior Scientific Research Specialist
4277,283,3,1,أخصائي بحوث أول,Senior Research Specialist
1339,63,3,1,أخصائي برامج,Program Specialist
1340,63,3,1,أخصائي برامج أول,Senior Program Specialist
3808,283,,1,أخصائي برامج اجتماعية,Social Programs Specialist
3604,283,3,1,أخصائي بروتوكول,Protocol Specialist
3605,283,3,1,أخصائي بروتوكول  أول,1st Protocol Specialist
1922,283,3,1,أخصائي بعثات,Scholarship Researcher
1923,283,3,1,أخصائي بعثات أول,Senior Scholarship Specialist
4217,283,3,2,أخصائي بيانات تدريب أول,Senior Training Data Specialist
1290,63,3,1,أخصائي تجهيزات,Supplies Specialist
1335,283,3,1,أخصائي تحليل بيانات,Data Analysis Specialist
1334,283,3,1,أخصائي تحليل بيانات أول,1st Data Analysis Specialist
1333,283,3,1,أخصائي تحليل بيانات ثاني,2nd Data Analysis Specialist
2194,283,3,1,أخصائي تحليل سياسات,Policies Analysis Specialist
2195,283,3,1,أخصائي تحليل سياسات أول,Senior Policies Analysis Specialist
4329,63,3,1,أخصائي تحليل نظم أول,Senior System Analysis Specialist
3759,283,4,1,أخصائي تخطيط إستراتيجي,Strategic Planning Specialist
3173,283,,2,أخصائي تخطيط استراتيجي وأبحاث,Strategic Planning and Research Specialist
3508,283,3,1,أخصائي تخطيط برامج تدريبية,Training Programs Planning Specialist
3509,283,3,1,أخصائي تخطيط برامج تدريبية أول,Senior Training Programs Planning Specialist
1970,273,3,2,أخصائي تدريب,Training Specialist
1971,283,3,1,أخصائي تدريب أول,Senior Training Specialist
3247,283,,2,أخصائي تدريب رياضيات,Mathematics Training Specialist
3624,283,4,1,أخصائي تدريب رياضيات  أول,Senior Mathematics Training Specialist
3245,283,,2,أخصائي تدريب لغة انجليزية,English Training Specialist
4106,283,3,1,أخصائي تدريب لغة انجليزية أول,Senior English Language Training specialist
3246,283,,2,أخصائي تدريب لغة عربية,Arabic Training Specialist
3956,283,,2,أخصائي تدريب لغة عربية أول,Senior Arabic Training Specialist
3516,283,3,1,أخصائي تدريب وتنمية قدرات,Training And Development Specialist
4020,283,3,1,أخصائي تدريب وتنمية قدرات أول,Senior  Training And Development Specialist
3512,67,5,1,أخصائي تدريب وتنمية قدرات ثاني,Second Training And Development Specialist
1867,283,3,1,أخصائي تدقيق بيانات وضبط الجودة,Data Auditing and Quality Control Specialist
1868,283,3,1,أخصائي تدقيق بيانات وضبط الجودة أول,Senior Data Auditing and Quality Control Specialist
3141,283,3,1,أخصائي تدقيق لغوي,PROOFREADING SPECIALIST
3139,283,3,1,أخصائي تدقيق لغوي ثاني,SECOND PROOFREADING SPECIALIST
4202,263,3,1,أخصائي تدقيق مالي,Financial Audit Specialist
3308,283,,1,أخصائي تراخيص,Licensing Specialist
2706,283,5,2,أخصائي تربية خاصة أول,Senior Special Education Specialist
1275,283,3,1,أخصائي ترجمة,Translation Specialist
1276,283,3,1,أخصائي ترجمة أول,Senior Translator Specialist
3114,283,3,1,أخصائي تصميم ديكور,Interior Design Specialist
1821,283,3,1,أخصائي تصميم رسوم أول,1st Graphic Designing Specialist
3180,283,3,1,أخصائي تطوير,Development Specialist
3692,283,3,1,أخصائي تطوير تربية خاصة,Special Education Development Specialist
3178,283,3,1,أخصائي تطوير ثاني,Second Development Specialist
4098,283,3,1,أخصائي تطوير مناهج,Curriculum Development Specialist
3206,283,3,1,أخصائي تطوير مناهج أول,First Curriculum Development Specialist
1295,283,3,1,أخصائي تطوير مهني,Professional Development Specialist
1911,283,3,1,أخصائي تطوير مهني أول,Senior Guidance and professional Development Researcher
2477,113,3,1,أخصائي تطوير مهني ثالث,3rd Professional Development Specialist
2481,113,3,1,أخصائي تعليم,Education Specialist
2480,113,3,1,أخصائي تعليم أول,1st Education Specialist
2603,283,3,1,أخصائي تعليم أول,Senior Education Specialist
2551,63,3,1,أخصائي تعليم إلكتروني أول,Senior E-learning  Specialist
2549,63,3,1,أخصائي تعليم إلكتروني ثالث,3rd E-Education Specialist
2451,113,3,1,أخصائي تعليم تربوي,Pedagogical Education Specialist
4111,283,3,1,أخصائي تعليم تربوي أول,Senior Pedagogical Education Specialist
4123,63,2,1,أخصائي تعليم تقني,Technical Education Specialist
2520,63,3,1,أخصائي تعليم تكنولوجيا ثالث,3rd IT Education Specialist
3208,283,5,3,أخصائي تعليم كبار,Adult Education Specialist
2838,283,3,1,أخصائي تعليم كبار أول,1st Adult Education Specialist
3738,283,3,1,أخصائي تعليم لغات,Language Education Specialist
1379,283,3,1,أخصائي تعليم مبكر,Stages of Early Education Specialist
3280,283,3,1,أخصائي تعليم مبكر ( مسار أدبي ),Early Years Education Specialist Arts Pathway)
3281,283,4,3,أخصائي تعليم مبكر ( مسار علمي ),Early Education Specialist (Science Stream)
4108,283,3,1,أخصائي تعليم مبكر (مسار أدبي) أول,"Senior Early Years Education Specialist, (Arabic, Islamic Studies and Social Sciences)"
4107,283,3,1,أخصائي تعليم مبكر (مسار علمي) أول,"Senior Early Years Education Specialist, (Science, math and English)"
3737,283,3,1,أخصائي تعليم وتدريب ذوي الاحتياجات الخاصة,Special Needs Education and Training Specialist
3957,283,,2,أخصائي تعليم وتدريب ذوي الاحتياجات الخاصة أول,Senior Special Needs Education and Training Specialist
4241,283,3,1,أخصائي تفتيش مباني أول,Senior Building Inspection Specialist
4849,63,3,1,أخصائي تقنية المعلومات,Information Technology Specialist
4112,283,3,1,أخصائي تقنية المعلومات أول,Senior Information Technology Specialist
2440,283,3,1,أخصائي تقييم,Assessment Specialist
2439,283,3,1,أخصائي تقييم أول,1st Assessment Specialist
3288,283,3,1,أخصائي تقييم المدارس الخاصة,Private Schools Evaluation Specialist
2437,283,3,1,أخصائي تقييم ثالث,3rd Assessment Specialist
2438,283,3,1,أخصائي تقييم ثاني,2nd Assessment Specialist
